 Metabolite_name	RefMet_name	HT1080_DMSO_01	HT1080_DMSO_02	HT1080_DMSO_03	HT1080_ML162_01	HT1080_ML162_02	HT1080_ML162_03	HT1080_ML210_01	HT1080_ML210_02	HT1080_ML210_03	HT1080_RSL3_01	HT1080_RSL3_02	HT1080_RSL3_03
Factors	-	Treatment:DMSO	Treatment:DMSO	Treatment:DMSO	Treatment:ML162	Treatment:ML162	Treatment:ML162	Treatment:ML210	Treatment:ML210	Treatment:ML210	Treatment:RSL3	Treatment:RSL3	Treatment:RSL3
N-acetyl-glucosamine-1/6-phosphate	N-Acetylglucosamine phosphate	8519.0030	6215.3400	6052.8020	13577.7600	8584.2340	8738.1400	8494.5220	6428.3630	8276.6050	11568.7700	7914.4590	8857.1710
N-acetyl-glutamate	N-Acetylglutamic acid	127745.1000	122536.9000	124525.8000	204077	140922.6000	147188.4000	140834.2000	148042	148659.4000	192566	144736.5000	137419.8000
N-Acetyl-L-alanine	N-Acetylalanine	20928.5300	16693.1600	22005.5400	22686.9100	19344.7100	20502.5100	28305.6800	21261.4100	19114.8000	22933.5500	20042.4200	12034.2300
NAD+	NAD	129065.6000	120945.7000	132491.7000	121087.5000	114792.4000	119981.4000	127175.7000	113807	124705.4000	119726.2000	111927.5000	116061.4000
NADH	NADH	83442.8000	92380.3800	83831.4900	74783.2000	71261.9500	72411.5300	68997.5500	66913.0900	72357.8200	68495.5400	65017.9700	63688.3800
NADP+	NADP	10114.4500	10354.6600	9637.8010	8955.9480	10134.8600	7997.9630	6211.5620	6471.4400	6235.7760	7346.0900	7493.9410	7736.4630
N-carbamoyl-L-aspartate	Carbamoylaspartate	71836.7700	52390.6800	85629.9500	1570.2040	1381.4540	1702.6880	18512.9300	25271.1200	25377.4500	3505.4450	2948.0400	3973.6150
Octulose-8/1-P	Octulose phosphate	9460.3490	7696.6550	9416.6420	7241.0020	7740.6810	7556.6620	9356.4250	6559.7310	9151.3230	7663.2070	8112.0280	7417.5120
octulose-bisphosphate	Octulose bisphosphate	3314.2860	2975.4210	2624.5810	1158.1200	1150.0740	1082.9350	1938.1230	1132.7340	1954.6460	1302.8990	1373.2190	1332.6060
pantothenate	Pantothenic acid	1820544	1589920	1729170	1956498	1641838	1511552	1908789	1583818	2033464	1755453	1534896	1627679
pyroglutamate	Pyroglutamic acid	12007770	12037900	11639610	9150373	12445880	11205470	12332970	11063540	11917040	9901959	11117630	11703510
pyruvate	Pyruvic acid	50351.0600	32226.5900	54644.3100	93021.3400	78141.8000	63011.2300	65940.7800	56501.7100	62624.5200	68475.4400	62774.9900	69164.6400
riboflavin	Riboflavin	4906.2800	4146.0850	4544.3240	6457.9120	5460.7290	4545.8060	4592.2880	4270.7500	4629.9000	6349.6010	5269.0360	4931.5590
ribose-phosphate	Ribose phosphate	16065.1000	12027.4800	13188.5500	7504.4490	7496.2710	7141.4800	8930.6040	5879.7230	9845.6050	8258.7320	8589.4910	6723.6580
sarcosine	Sarcosine	76220.5800	66256.8800	71316.4800	77940.1500	69550.8100	63530.7800	82882.3900	64778.3700	83698.2000	72407.7100	63677.2000	67066.0600
sedoheptulose-1/7-phosphate		8498.7310	7236.3100	8314.2950	8313.4360	6358.1600	6566.2790	8223.9280	6539.1820	8869.6520	8489.0900	7718.2560	6517.8570
sedoheptulose-bisphosphate	Sedoheptulose 1,7-bisphosphate	8430.4820	9062.6580	8066.5250	3920.4150	4169.9200	4263.8520	6560.6310	4048.0850	5728.5110	4415.3620	5405.2950	5059.1920
S-methyl-5-thioadenosine	5'-Methylthioadenosine	3880.3080	3835.2400	3551.1210	6309.3870	5481.9380	5114.4110	5044.5780	4171.1840	5254.0810	4415.9610	4453.0100	4876.6130
succinate	Succinic acid	122003.8000	137233.4000	130171.7000	287631.9000	145863.1000	118839.4000	119378.4000	115573.3000	103634.1000	240653.8000	140392.2000	136972.4000
UDP	UDP	31868.3700	27557.9400	24932.2100	43249.2500	33681.4600	30472.2100	22629.9900	11827.1200	18534.7900	28214.6900	22875.5200	21554.2300
UDP-D-glucose	UDP-glucose	685827.8000	653221.3000	669119.6000	836789.8000	613499.6000	631531.2000	521256.3000	568938	580035.4000	653554.7000	564797.1000	578121.8000
UDP-D-glucuronate	UDP-glucuronic acid	808080.2000	755589	826940.7000	795479.9000	631606	510646	629369.8000	473835.5000	511394.1000	737139.7000	556051.7000	541732.7000
UDP-N-acetyl-glucosamine	UDP-N-acetylglucosamine	4477240	3862246	4418366	4480544	4005967	4340214	4294803	4627858	4709236	5082712	4406570	4700096
UMP	UMP	12426.1900	13183.9300	10784.9700	16134.7400	15637.4600	18486.2100	10478.4200	8447.1530	11363.7100	11790.3800	13368.0700	13349.3000
urate	Uric acid	10414.4600	7683.3720	7115.9850	9392.7960	12118.9400	8060.5000	13206.6800	4896.1160	11265.8600	8169.1340	11135.9600	9268.9560
uridine	Uridine	1406.4700	1000	1009.7170	4741.6880	3520.8950	3975.6120	2391.8280	1485.8990	2853.9410	2902.9160	3294.8460	2896.3830
UTP	UTP	658524.6000	633130.7000	621969.1000	338761.7000	418705.7000	368396.4000	424716.8000	321632.1000	349900.2000	284919	330846.8000	354947.4000
													
